[08/28/2012 1:56:18 PM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[08/28/2012 1:56:18 PM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[08/28/2012 1:56:18 PM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[08/28/2012 1:56:18 PM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[08/28/2012 1:56:20 PM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[08/28/2012 1:56:20 PM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[08/28/2012 1:56:20 PM][INFO][clChildList][GetAllChildList][00000000-0000-0000-0000-000000000000] GetAllChildList method called
[08/28/2012 1:56:20 PM][DEBUG][clChildList][GetAllChildList][00000000-0000-0000-0000-000000000000] Debug GetAllChildList called
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadProgram][00000000-0000-0000-0000-000000000000] Execute LoadProgram Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadProgram][00000000-0000-0000-0000-000000000000] Debug LoadProgram Method
[08/28/2012 1:56:23 PM][INFO][clEnrollmentStatus][LoadEnrollmentStatus][00000000-0000-0000-0000-000000000000] Execute LoadEnrollmentStatus Method
[08/28/2012 1:56:23 PM][DEBUG][clEnrollmentStatus][LoadEnrollmentStatus][00000000-0000-0000-0000-000000000000] Debug LoadEnrollmentStatus Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadChildDataList][00000000-0000-0000-0000-000000000000] Execute LoadChildDataList Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadChildDataList][00000000-0000-0000-0000-000000000000] Debug LoadChildDataList Method
[08/28/2012 1:56:23 PM][INFO][clEnrollmentStatus][LoadEnrollmentStatus][00000000-0000-0000-0000-000000000000] Execute LoadEnrollmentStatus Method
[08/28/2012 1:56:23 PM][DEBUG][clEnrollmentStatus][LoadEnrollmentStatus][00000000-0000-0000-0000-000000000000] Debug LoadEnrollmentStatus Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][GetFessPeriodFromSchoolProgramFeesDetail][00000000-0000-0000-0000-000000000000] Execute GetFessPeriodFromSchoolProgramFeesDetail Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][GetFessPeriodFromSchoolProgramFeesDetail][00000000-0000-0000-0000-000000000000] Debug GetFessPeriodFromSchoolProgramFeesDetail Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:23 PM][INFO][ChildProgEnrollment][LoadProgEnrollment][00000000-0000-0000-0000-000000000000] LoadProgEnrollment method called
[08/28/2012 1:56:23 PM][DEBUG][ChildProgEnrollment][LoadProgEnrollment][00000000-0000-0000-0000-000000000000] Debug LoadProgEnrollment called
[08/28/2012 1:56:23 PM][INFO][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] GetIsPrimarySchoolProgram method called
[08/28/2012 1:56:23 PM][DEBUG][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] Debug GetIsPrimarySchoolProgram called
[08/28/2012 1:56:24 PM][INFO][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Execute GetCurrentSchoolYear Method
[08/28/2012 1:56:24 PM][DEBUG][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Debug GetCurrentSchoolYear Method
[08/28/2012 1:56:24 PM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[08/28/2012 1:56:24 PM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[08/28/2012 1:56:24 PM][INFO][clAddEditChild][LoadChildDataList][00000000-0000-0000-0000-000000000000] Execute LoadChildDataList Method
[08/28/2012 1:56:24 PM][DEBUG][clAddEditChild][LoadChildDataList][00000000-0000-0000-0000-000000000000] Debug LoadChildDataList Method
[08/28/2012 1:56:33 PM][INFO][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] GetIsPrimarySchoolProgram method called
[08/28/2012 1:56:33 PM][DEBUG][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] Debug GetIsPrimarySchoolProgram called
[08/28/2012 1:56:33 PM][INFO][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Execute GetCurrentSchoolYear Method
[08/28/2012 1:56:33 PM][DEBUG][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Debug GetCurrentSchoolYear Method
[08/28/2012 1:56:33 PM][INFO][clAddEditChild][GetFessPeriodFromSchoolProgramFeesDetail][00000000-0000-0000-0000-000000000000] Execute GetFessPeriodFromSchoolProgramFeesDetail Method
[08/28/2012 1:56:33 PM][DEBUG][clAddEditChild][GetFessPeriodFromSchoolProgramFeesDetail][00000000-0000-0000-0000-000000000000] Debug GetFessPeriodFromSchoolProgramFeesDetail Method
[08/28/2012 1:56:33 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:33 PM][INFO][ChildProgEnrollment][LoadProgEnrollment][00000000-0000-0000-0000-000000000000] LoadProgEnrollment method called
[08/28/2012 1:56:33 PM][DEBUG][ChildProgEnrollment][LoadProgEnrollment][00000000-0000-0000-0000-000000000000] Debug LoadProgEnrollment called
[08/28/2012 1:56:57 PM][INFO][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] GetIsPrimarySchoolProgram method called
