[5/16/2013 10:16:01 AM][INFO][clSchool][LoadAllSchool][00000000-0000-0000-0000-000000000000] LoadAllSchool method called
[5/16/2013 10:16:01 AM][DEBUG][clSchool][LoadAllSchool][00000000-0000-0000-0000-000000000000] Debug LoadAllSchool called
[5/16/2013 10:16:21 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[5/16/2013 10:16:21 AM][DEBUG][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Debug LoadStaffDetailsByUserNameAndPassword Method
[5/16/2013 10:16:27 AM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[5/16/2013 10:16:27 AM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[5/16/2013 10:16:45 AM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[5/16/2013 10:16:45 AM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[5/16/2013 10:16:45 AM][INFO][clSchoolProgram][LoadSchoolProgram][00000000-0000-0000-0000-000000000000] Execute LoadSchoolProgram Method
[5/16/2013 10:16:45 AM][DEBUG][clSchoolProgram][LoadSchoolProgram][00000000-0000-0000-0000-000000000000] Debug LoadSchoolProgram Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
[5/16/2013 10:16:45 AM][DEBUG][clChildProgEnrollment][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[5/16/2013 10:16:45 AM][INFO][clChildProgEnrollment][Save][00000000-0000-0000-0000-000000000000] Execute Save Method
